Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
1,1,T Tom EICKELBERG,Top10 Male,1,Wave 1,11:29,1:09,19:23,0:32,18:25,50:59,50:59
2,2,T Tim STEISKAL,Top10 Male,2,Wave 1,12:29,1:03,20:53,0:58,18:58,54:24,54:24
3,4,M Meghan LYNCH,Top10 Female,1,Wave 3,11:16,1:15,22:36,1:05,19:25,55:39,1:03:42
4,5,E Eric JUERGENS,Top10 Male,3,Wave 1,12:19,1:13,22:06,1:00,19:10,55:51,55:51
5,9,S Steven GALVAO,Top10 Male,4,Wave 1,16:49,1:04,19:27,0:53,18:30,56:45,56:45
6,3,J Jodie ROBERTSON,Top10 Female,2,Wave 1,14:59,1:30,20:27,1:19,19:01,57:18,57:18
7,458,M Matteo SOMMA,Top10 Male,5,Wave 1,11:59,1:26,23:34,1:06,20:07,58:14,58:14
8,52,B Brady THOMAS,Top10 Male,6,Wave 1,13:51,1:19,21:37,0:58,21:03,58:49,58:49
9,80,J Jeremy NANUS,Top10 Male,7,Wave 1,15:49,1:01,20:55,1:12,20:02,59:02,59:02
10,23,M Michael FALLARINO,Top10 Male,8,Wave 1,14:48,1:26,21:13,1:06,20:49,59:25,59:25
11,24,M Mike NEWMAN,Top10 Male,9,Wave 1,15:59,1:06,20:55,1:01,20:50,59:53,59:53
12,8,C Cheryl REGAN,Top10 Female,3,Wave 1,13:59,1:46,21:44,1:24,21:15,1:00:10,1:00:10
13,108,T Todd ROWLEY,Top10 Male,10,Wave 2,14:29,1:11,21:45,1:02,21:53,1:00:23,1:04:23
14,6,P Peter VENTURA,Top5 M Masters,1,Wave 1,13:59,1:05,22:39,0:59,22:05,1:00:50,1:00:50
15,22,M Marc LEAHY,Top5 M Masters,2,Wave 1,14:46,1:22,22:43,0:59,21:05,1:00:58,1:00:58
16,131,M Michael TRYPALUK,M 25-29,1,Wave 2,16:07,2:13,21:53,1:06,19:37,1:00:58,1:04:58
17,153,M Mark SPOTTISWOOD,Top5 M Masters,3,Wave 1,14:59,2:28,21:49,1:13,20:54,1:01:24,1:01:24
18,485,C Carlos OMAR RIVERA,M 35-39,1,Wave 1,13:39,1:39,22:42,1:11,22:22,1:01:35,1:01:35
19,112,J Justin CHEN,M 14-19,1,Wave 2,12:37,2:39,25:58,0:44,20:22,1:02:22,1:06:22
20,113,D David DYNER,M 14-19,2,Wave 2,14:23,2:05,25:27,1:18,19:16,1:02:31,1:06:31
21,461,A Adam JUG,Top5 M Masters,4,Wave 1,16:33,1:28,21:36,1:18,21:49,1:02:46,1:02:46
22,115,A Anthony KING,M 14-19,3,Wave 2,14:00,1:51,25:38,0:57,20:56,1:03:24,1:07:24
23,81,K Kevin CLARK,Top5 M Masters,5,Wave 1,15:01,2:17,22:01,3:21,20:46,1:03:27,1:03:27
24,97,T Todd GUNDERSEN,M 40-44,1,Wave 1,17:19,1:27,22:43,1:05,20:52,1:03:29,1:03:29
25,132,R Ronald WINKLER,M 25-29,2,Wave 2,15:15,2:22,22:04,2:04,21:51,1:03:38,1:07:38
26,182,C Charles MAASS,M 50-54,1,Wave 2,14:23,2:03,23:45,1:06,22:58,1:04:16,1:08:16
27,352,G Glen MALINGS,M 60-64,1,Wave 4,13:48,3:00,23:06,1:14,23:10,1:04:20,1:17:28
28,360,W William MONDELLI,M 65-69,1,Wave 4,16:09,2:00,22:28,0:55,23:07,1:04:41,1:17:49
29,432,K Kevin CONEYS,M 35-39,2,Wave 1,16:17,1:32,23:35,0:56,22:29,1:04:51,1:04:51
30,470,J James WALKER,M 50-54,2,Wave 2,14:57,1:40,23:55,0:54,23:34,1:05:02,1:09:02
31,311,T Tom FANUZZI,M 55-59,1,Wave 4,14:54,1:56,23:14,1:08,24:08,1:05:21,1:18:30
32,126,R Ryan LYNCH,M 20-24,1,Wave 2,15:01,2:22,24:17,1:00,22:42,1:05:24,1:09:24
33,55,K Kevin FLYNN,M 30-34,1,Wave 1,17:29,2:02,21:55,1:26,22:36,1:05:30,1:05:30
