eventName,gender,age,location,bib,url
Individual Triathlon,,Age 34,"New Paltz, NY",1,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U8358795
Individual Triathlon,,Age 36,"Wantagh, NY",2,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U17771526
Individual Triathlon,,Age 16,"Brooklyn, NY",41,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U49161546
Individual Triathlon,,Age 32,"Long Beach, NY",87,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U49495556
Individual Triathlon,,Age 27,"Shirley, NY",9,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U35791717
Individual Triathlon,,Age 31,"Northport, NY",8,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U16179842
Individual Triathlon,,Age 58,"Wantagh, NY",209,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U23098504
Individual Triathlon,,Age 41,"Brooklyn, NY",491,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U19742990
Individual Triathlon,,Age 31,"Middle Island, NY",3,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U18844755
Individual Triathlon,,Age 35,"Oyster Bay, NY",109,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U61488426
Individual Triathlon,,Age 31,"Syosset, NY",72,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U17146143
Individual Triathlon,,Age 20,"Rockville Centre, NY",45,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U20487595
Individual Triathlon,,Age 31,"Cold Spring Harbor, NY",277,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U26726517
Individual Triathlon,,Age 44,"Larchmont, NY",156,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U6236173
Individual Triathlon,,Age 39,"Brooklyn, NY",360,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U12999989
Individual Triathlon,,Age 43,"bellmore, NY",153,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U30369438
Individual Triathlon,,Age 44,"Syosset, NY",149,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U77323476
Individual Triathlon,,Age 55,"Manhasset, NY",189,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U9897881
Individual Triathlon,,Age 33,"Huntington, NY",26,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U51244342
Individual Triathlon,,Age 59,"Plainview, NY",224,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U20373324
Individual Triathlon,,Age 15,"East Islip, NY",39,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U31619763
Individual Triathlon,,Age 32,"Brooklyn, NY",22,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U77250641
Individual Triathlon,,Age 64,"Oyster Bay, NY",5,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U16180339
Individual Triathlon,,Age 17,"Ronkonkoma, NY",13,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U20246730
Individual Triathlon,,Age 38,"Waterloo, NY",123,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U19987743
Individual Triathlon,,Age 32,"Forest Hills, NY",88,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U76854988
Individual Triathlon,,Age 47,"West Harrison, NY",165,https://runsignup.com/Race/Results/131115/IndividualResult/bDhP?resultSetId=401081#U3345488
