Bib,Place,Name,Division,Div Pos/Count,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
2,1,A Anthony KING,Top10 Male,1/10,Wave 1 White,00:12:33,00:01:09,00:23:50,00:00:44,00:18:36,56:52,56:52
32,2,B Brian LAROSSA,Top10 Male,2/10,Wave 1 White,00:12:35,00:01:34,00:24:20,00:00:52,00:17:37,56:59,56:59
10,3,P Peter VENTURA,Top10 Male,3/10,Wave 1 White,00:12:58,00:01:11,00:20:56,00:00:54,00:21:20,57:19,57:19
4,4,M Michael TRYPALUK,Top10 Male,4/10,Wave 1 White,00:14:38,00:01:10,00:20:47,00:00:54,00:20:09,57:38,57:38
446,5,S Scott GREEN,Top10 Male,5/10,Wave 5 Orange,00:14:04,00:01:09,00:21:23,00:01:04,00:21:05,58:45,1:14:56
71,6,A Anderson GONZAGA,Top10 Male,6/10,Wave 1 White,00:13:08,00:01:46,00:21:47,00:01:07,00:21:11,58:59,58:59
5,7,S Sean HARDICK,Top10 Male,7/10,Wave 1 White,00:11:57,00:01:11,00:23:46,00:00:43,00:21:53,59:30,59:30
401,8,B Bayron ALVAREZ,Top10 Male,8/10,Wave 1 White,00:15:15,00:01:12,00:22:31,00:01:10,00:19:31,59:39,59:39
411,9,P Patrick WEBSTER,Top10 Male,9/10,Wave 1 White,00:12:39,00:01:42,00:23:12,00:00:47,00:21:56,1:00:16,1:00:16
132,10,B Brandon WORSTER,Top10 Male,10/10,Wave 3 Blue,00:15:34,00:01:46,00:22:43,00:00:49,00:19:54,1:00:46,1:08:46
33,11,L Luke JARSKI,M 19-24,1/6,Wave 1 White,00:16:03,00:02:56,00:22:57,00:00:39,00:18:17,1:00:52,1:00:52
56,12,R Robert FOX,M 30-34,1/20,Wave 1 White,00:15:24,00:02:01,00:22:19,00:01:20,00:19:51,1:00:55,1:00:55
6,13,P Peter HOGARTY,M 55-59,1/25,Wave 5 Orange,00:14:05,00:01:51,00:22:37,00:01:22,00:21:21,1:01:16,1:17:26
7,14,A Alex OLT,M 35-39,1/20,Wave 1 White,00:14:32,00:01:13,00:22:13,00:00:56,00:22:40,1:01:32,1:01:32
484,15,A Adam FRISCHER,M 45-49,1/20,Wave 3 Blue,00:15:26,00:01:57,00:22:23,00:01:21,00:20:33,1:01:40,1:09:40
9,16,R Ryan HEALY,M 30-34,2/20,Wave 1 White,00:15:02,00:01:59,00:23:52,00:01:31,00:19:38,1:02:02,1:02:02
441,17,T Thomas SULLIVAN,M 50-54,1/24,Wave 3 Blue,00:16:24,00:01:19,00:22:28,00:00:58,00:21:07,1:02:16,1:10:16
164,18,F Francesco IANNI,M 50-54,2/24,Wave 3 Blue,00:15:36,00:02:32,00:21:55,00:01:18,00:21:03,1:02:24,1:10:24
12,19,K Kira GARRY,Top10 Female,1/10,Wave 1 White,00:14:05,00:02:11,00:24:35,00:01:08,00:20:31,1:02:30,1:02:30
